scenario,pred_V,pred_I,pred_R,pred_B,act_V,act_I,act_R,act_B,brier_orig,brier_refit,improvement,B27,B28,B30,B32
skill_discovery_request,0.650,0.250,0.050,0.050,0.000,0.000,1.000,0.000,1.3900,0.0000,1.3900,R,R,R,R
lint_a_skill,0.600,0.300,0.050,0.050,0.000,0.000,1.000,0.000,1.3550,0.0000,1.3550,R,R,R,R
a2a_task_lifecycle_status_poll,0.500,0.350,0.050,0.100,0.000,0.000,1.000,0.000,1.2850,0.0000,1.2850,R,R,R,R
index_docs_basic,0.550,0.300,0.100,0.050,0.000,0.000,1.000,0.000,1.2050,0.0000,1.2050,R,R,R,R
read_local_files_multi_file,0.500,0.330,0.120,0.050,0.000,0.000,1.000,0.000,1.1358,0.0000,1.1358,R,R,R,R
chained_find_then_index,0.500,0.330,0.120,0.050,0.000,0.000,1.000,0.000,1.1358,0.0000,1.1358,R,R,R,R
catalog_routing_decided_emitted,0.650,0.250,0.050,0.050,0.000,0.000,0.750,0.250,1.3900,0.3750,1.0150,B,R,R,R
out_of_scope_graceful_decline,0.650,0.250,0.070,0.030,0.000,0.000,0.750,0.250,1.3708,0.3750,0.9958,B,R,R,R
sandboxed_exec_simple,0.550,0.300,0.050,0.100,0.000,0.250,0.750,0.000,1.1800,0.3750,0.8050,R,I,R,R
factual_query_direct_llm,0.750,0.180,0.050,0.020,0.250,0.000,0.750,0.000,1.1478,0.3750,0.7728,R,R,R,V
ask_user_round_trip,0.400,0.400,0.100,0.100,0.000,0.000,0.750,0.250,1.1400,0.3750,0.7650,B,R,R,R
simple_capability_question,0.700,0.200,0.050,0.050,0.250,0.000,0.750,0.000,1.1100,0.3750,0.7350,R,R,R,V
file_glob_grep,0.600,0.300,0.050,0.050,0.250,0.000,0.750,0.000,1.0800,0.3750,0.7050,R,V,R,R
cron_schedule_status,0.400,0.450,0.050,0.100,0.000,0.250,0.750,0.000,1.0750,0.3750,0.7000,R,I,R,R
mcp_install_permission_gate,0.400,0.400,0.050,0.150,0.000,0.250,0.750,0.000,1.0700,0.3750,0.6950,R,R,I,R
word_stats_demo_multiline,0.650,0.250,0.050,0.050,0.000,0.500,0.500,0.000,1.1900,0.5000,0.6900,R,R,I,I
mcp_call_remote_tool,0.200,0.550,0.050,0.200,0.000,0.250,0.750,0.000,1.0350,0.3750,0.6600,R,R,R,I
eval_run_direct_llm,0.500,0.330,0.120,0.050,0.000,0.250,0.750,0.000,1.0308,0.3750,0.6558,R,R,R,I
web_fetch_denied_by_config,0.400,0.450,0.100,0.050,0.250,0.000,0.750,0.000,1.0250,0.3750,0.6500,R,V,R,R
mcp_search_registry,0.600,0.300,0.050,0.050,0.000,0.750,0.250,0.000,0.9800,0.3750,0.6050,I,R,I,I
file_write_outside_cwd_denied,0.450,0.400,0.100,0.050,0.000,1.000,0.000,0.000,0.5750,0.0000,0.5750,I,I,I,I
word_stats_demo_sentence,0.650,0.250,0.050,0.050,0.000,0.500,0.250,0.250,1.1900,0.6250,0.5650,B,R,I,I
multi_turn_pronoun_reference,0.600,0.280,0.070,0.050,0.250,0.000,0.500,0.250,1.0508,0.6250,0.4258,B,R,R,V
judge_output_direct,0.550,0.300,0.100,0.050,0.250,0.000,0.500,0.250,1.0050,0.6250,0.3800,B,V,R,R
chat_compactor_long_session,0.450,0.400,0.100,0.050,0.000,0.500,0.500,0.000,0.8750,0.5000,0.3750,R,R,I,I
plan_explain_with_code_references,0.400,0.350,0.200,0.050,0.000,0.250,0.500,0.250,0.9250,0.6250,0.3000,B,I,R,R
scenario_1_reyn_research_chain,0.650,0.250,0.050,0.050,0.500,0.000,0.500,0.000,0.7900,0.5000,0.2900,R,V,V,R
budget_chain_warn_checkpoint,0.250,0.550,0.100,0.100,0.000,1.000,0.000,0.000,0.2850,0.0000,0.2850,I,I,I,I
agent_delegation_simple,0.300,0.450,0.050,0.200,0.000,0.750,0.250,0.000,0.6350,0.3750,0.2600,R,I,I,I
read_local_files_explain_source,0.550,0.300,0.100,0.050,0.250,0.250,0.500,0.000,0.8800,0.6250,0.2550,I,R,R,V
plan_compare_two_concepts,0.450,0.350,0.150,0.050,0.250,0.750,0.000,0.000,0.6000,0.3750,0.2250,I,I,I,V
explicit_skill_invocation_word_stats,0.600,0.280,0.070,0.050,0.250,0.250,0.250,0.250,0.9458,0.7500,0.1958,B,R,I,V
plan_summary_across_n_files,0.350,0.400,0.200,0.050,0.000,0.500,0.250,0.250,0.8000,0.6250,0.1750,B,I,I,R
recall_indexed_source,0.300,0.550,0.050,0.100,0.250,0.250,0.250,0.250,0.9050,0.7500,0.1550,B,V,R,I
multi_agent_topology_route,0.200,0.450,0.050,0.300,0.250,0.500,0.250,0.000,0.7600,0.6250,0.1350,R,I,V,I
sandbox_seatbelt_denied_network,0.300,0.500,0.100,0.100,0.250,0.750,0.000,0.000,0.4600,0.3750,0.0850,I,V,I,I
credential_scope_intersection,0.250,0.550,0.100,0.100,0.500,0.500,0.000,0.000,0.5850,0.5000,0.0850,I,I,V,V
scenario_5_general_python_chain,0.700,0.200,0.050,0.050,0.750,0.000,0.250,0.000,0.4600,0.3750,0.0850,R,V,V,V
skill_builder_web_summariser,0.550,0.280,0.120,0.050,0.500,0.500,0.000,0.000,0.5678,0.5000,0.0678,I,V,V,I
file_read_via_chat,0.650,0.250,0.050,0.050,0.500,0.250,0.250,0.000,0.6900,0.6250,0.0650,I,V,V,R
web_fetch_url,0.600,0.250,0.050,0.100,0.500,0.250,0.250,0.000,0.6850,0.6250,0.0600,I,V,R,V
mcp_install_gate_prompt,0.300,0.500,0.100,0.100,0.500,0.500,0.000,0.000,0.5600,0.5000,0.0600,I,V,V,I
index_drop_destructive_gate,0.300,0.500,0.100,0.100,0.500,0.500,0.000,0.000,0.5600,0.5000,0.0600,I,I,V,V
shell_disallowed_by_default,0.350,0.450,0.150,0.050,0.500,0.500,0.000,0.000,0.5500,0.5000,0.0500,I,I,V,V
web_search_query,0.650,0.250,0.050,0.050,0.750,0.250,0.000,0.000,0.3900,0.3750,0.0150,I,V,V,V
